# 扫描参数	信号	背景	对比度	差分信号
2840000000.000000	-2.47519757	-2.47564376	-0.00009012	0.00044619
2840500000.000000	-2.47662732	-2.47616811	0.00009272	-0.00045921
2841000000.000000	-2.47634398	-2.47661429	-0.00005458	0.00027032
2841500000.000000	-2.47485561	-2.47624627	-0.00028088	0.00139067
2842000000.000000	-2.47631792	-2.47618439	0.00002696	-0.00013353
2842500000.000000	-2.47596293	-2.47433126	0.00032961	-0.00163167
2843000000.000000	-2.47422704	-2.47476116	-0.00010793	0.00053412
2843500000.000000	-2.47470254	-2.47567307	-0.00019605	0.00097053
2844000000.000000	-2.47472859	-2.47492726	-0.00004014	0.00019867
2844500000.000000	-2.47358219	-2.47380691	-0.00004542	0.00022472
2845000000.000000	-2.47501845	-2.47432800	0.00013950	-0.00069045
2845500000.000000	-2.47317183	-2.47288848	0.00005729	-0.00028334
2846000000.000000	-2.47333141	-2.47209707	0.00024959	-0.00123434
2846500000.000000	-2.47190492	-2.47218175	-0.00005599	0.00027683
2847000000.000000	-2.47145548	-2.47190166	-0.00009026	0.00044619
2847500000.000000	-2.47162809	-2.47134800	0.00005666	-0.00028009
2848000000.000000	-2.47248464	-2.47259537	-0.00002239	0.00011073
2848500000.000000	-2.47084971	-2.47229574	-0.00029253	0.00144603
2849000000.000000	-2.47175511	-2.47082040	0.00018911	-0.00093471
2849500000.000000	-2.46479201	-2.46545966	-0.00013542	0.00066765
2850000000.000000	-2.46289979	-2.46334598	-0.00009057	0.00044619
2850500000.000000	-2.46319616	-2.46324502	-0.00000992	0.00004885
2851000000.000000	-2.46474641	-2.46499719	-0.00005087	0.00025078
2851500000.000000	-2.46562576	-2.46526751	0.00007265	-0.00035825
2852000000.000000	-2.46586351	-2.46642368	-0.00011357	0.00056017
2852500000.000000	-2.46563227	-2.46580163	-0.00003434	0.00016936
2853000000.000000	-2.46409179	-2.46402991	0.00001256	-0.00006188
2853500000.000000	-2.46234939	-2.46187063	0.00009722	-0.00047875
2854000000.000000	-2.45977324	-2.46017057	-0.00008076	0.00039733
2854500000.000000	-2.45709287	-2.45692026	0.00003513	-0.00017261
2855000000.000000	-2.45505084	-2.45483914	0.00004312	-0.00021169
2855500000.000000	-2.45310326	-2.45099609	0.00042967	-0.00210717
2856000000.000000	-2.45016560	-2.45034472	-0.00003655	0.00017913
2856500000.000000	-2.44679804	-2.44659286	0.00004193	-0.00020518
2857000000.000000	-2.44175321	-2.44193559	-0.00003735	0.00018238
2857500000.000000	-2.43846382	-2.43878624	-0.00006611	0.00032243
2858000000.000000	-2.43267318	-2.43453934	-0.00038341	0.00186616
2858500000.000000	-2.42875847	-2.42876173	-0.00000067	0.00000326
2859000000.000000	-2.42223179	-2.42331305	-0.00022315	0.00108127
2859500000.000000	-2.41836268	-2.41873070	-0.00007608	0.00036802
2860000000.000000	-2.41093711	-2.41103156	-0.00001959	0.00009445
2860500000.000000	-2.40393167	-2.40252798	0.00029204	-0.00140369
2861000000.000000	-2.39566259	-2.39577332	-0.00002311	0.00011073
2861500000.000000	-2.38596376	-2.38577486	0.00003959	-0.00018890
2862000000.000000	-2.37480912	-2.37492637	-0.00002468	0.00011725
2862500000.000000	-2.36333532	-2.36388572	-0.00011643	0.00055040
2863000000.000000	-2.35205367	-2.35132740	0.00015441	-0.00072627
2863500000.000000	-2.33956699	-2.33931296	0.00005429	-0.00025403
2864000000.000000	-2.33379589	-2.33301751	0.00016679	-0.00077838
2864500000.000000	-2.32678720	-2.32937638	-0.00055608	0.00258918
2865000000.000000	-2.32257612	-2.32332194	-0.00016053	0.00074581
2865500000.000000	-2.31788629	-2.31873958	-0.00018403	0.00085329
2866000000.000000	-2.31943003	-2.31925416	0.00003791	-0.00017587
2866500000.000000	-2.31951796	-2.31869399	0.00017765	-0.00082398
2867000000.000000	-2.32534768	-2.32659505	-0.00026814	0.00124736
2867500000.000000	-2.34041377	-2.34028349	0.00002783	-0.00013027
2868000000.000000	-2.35372768	-2.35306329	0.00014116	-0.00066439
2868500000.000000	-2.36319202	-2.36406485	-0.00018464	0.00087283
2869000000.000000	-2.36053770	-2.35987983	0.00013937	-0.00065788
2869500000.000000	-2.34592758	-2.34713260	-0.00025677	0.00120503
2870000000.000000	-2.33061723	-2.33116112	-0.00011667	0.00054389
2870500000.000000	-2.32340336	-2.32015630	0.00069926	-0.00324706
2871000000.000000	-2.31665521	-2.31612761	0.00011389	-0.00052761
2871500000.000000	-2.31580192	-2.31436240	0.00031090	-0.00143952
2872000000.000000	-2.31796446	-2.31728052	0.00014755	-0.00068393
2872500000.000000	-2.32134179	-2.32019213	0.00024769	-0.00114966
2873000000.000000	-2.32641267	-2.32665041	-0.00005110	0.00023775
2873500000.000000	-2.33268532	-2.33268206	0.00000070	-0.00000326
2874000000.000000	-2.34384321	-2.34285639	0.00021056	-0.00098682
2874500000.000000	-2.35307631	-2.35268875	0.00008236	-0.00038756
2875000000.000000	-2.36306500	-2.36630555	-0.00068520	0.00324054
2875500000.000000	-2.37595553	-2.37551260	0.00009322	-0.00044293
2876000000.000000	-2.38626990	-2.38574555	0.00010988	-0.00052435
2876500000.000000	-2.39460086	-2.39474091	-0.00002924	0.00014004
2877000000.000000	-2.40301976	-2.40297742	0.00000881	-0.00004234
2877500000.000000	-2.40983305	-2.40929567	0.00011151	-0.00053738
2878000000.000000	-2.41734980	-2.41753219	-0.00003772	0.00018238
2878500000.000000	-2.42346287	-2.42398722	-0.00010817	0.00052435
2879000000.000000	-2.42879755	-2.42870962	0.00001810	-0.00008793
2879500000.000000	-2.43368279	-2.43338642	0.00006089	-0.00029637
2880000000.000000	-2.43892954	-2.43864620	0.00005809	-0.00028334
2880500000.000000	-2.44382781	-2.44363566	0.00003932	-0.00019215
2881000000.000000	-2.44822127	-2.44833200	-0.00002261	0.00011073
2881500000.000000	-2.45137714	-2.45159209	-0.00004384	0.00021495
2882000000.000000	-2.45459814	-2.45457534	0.00000464	-0.00002280
