# 扫描参数	信号	背景	对比度	差分信号	归一化对比度
2840000000.000000	-0.65619201	-0.65583409	-0.65619201	-0.00035793	-0.01975824
2840500000.000000	-0.65653398	-0.65604057	-0.65653398	-0.00049341	-0.01921350
2841000000.000000	-0.65562076	-0.65585265	-0.65562076	0.00023189	-0.02066820
2841500000.000000	-0.65479288	-0.65463916	-0.65479288	-0.00015372	-0.02198697
2842000000.000000	-0.65496810	-0.65470494	-0.65496810	-0.00026315	-0.02170786
2842500000.000000	-0.65552729	-0.65571684	-0.65552729	0.00018955	-0.02081709
2843000000.000000	-0.65591127	-0.65611482	-0.65591127	0.00020355	-0.02020543
2843500000.000000	-0.65588815	-0.65573671	-0.65588815	-0.00015144	-0.02024227
2844000000.000000	-0.65544034	-0.65532928	-0.65544034	-0.00011106	-0.02095561
2844500000.000000	-0.65478018	-0.65471993	-0.65478018	-0.00006025	-0.02200720
2845000000.000000	-0.65492348	-0.65469387	-0.65492348	-0.00022961	-0.02177893
2845500000.000000	-0.65495311	-0.65463004	-0.65495311	-0.00032308	-0.02173172
2846000000.000000	-0.65451898	-0.65484238	-0.65451898	0.00032340	-0.02242328
2846500000.000000	-0.65462092	-0.65412197	-0.65462092	-0.00049895	-0.02226089
2847000000.000000	-0.65363182	-0.65346181	-0.65363182	-0.00017001	-0.02383647
2847500000.000000	-0.65241702	-0.65281957	-0.65241702	0.00040254	-0.02577157
2848000000.000000	-0.65187509	-0.65217732	-0.65187509	0.00030223	-0.02663484
2848500000.000000	-0.65230108	-0.65228382	-0.65230108	-0.00001726	-0.02595626
2849000000.000000	-0.65359697	-0.65314948	-0.65359697	-0.00044749	-0.02389198
2849500000.000000	-0.65601451	-0.65621872	-0.65601451	0.00020420	-0.02004098
2850000000.000000	-0.65581194	-0.65534621	-0.65581194	-0.00046573	-0.02036367
2850500000.000000	-0.65748334	-0.65614479	-0.65748334	-0.00133856	-0.01770122
2851000000.000000	-0.65597901	-0.65607509	-0.65597901	0.00009608	-0.02009753
2851500000.000000	-0.65574811	-0.65551785	-0.65574811	-0.00023026	-0.02046535
2852000000.000000	-0.65295603	-0.65286386	-0.65295603	-0.00009217	-0.02491296
2852500000.000000	-0.65317065	-0.65319573	-0.65317065	0.00002508	-0.02457108
2853000000.000000	-0.65614055	-0.65620113	-0.65614055	0.00006058	-0.01984020
2853500000.000000	-0.66313003	-0.66310919	-0.66313003	-0.00002084	-0.00870639
2854000000.000000	-0.65212423	-0.65208613	-0.65212423	-0.00003810	-0.02623796
2854500000.000000	-0.65052187	-0.65040951	-0.65052187	-0.00011236	-0.02879042
2855000000.000000	-0.65070784	-0.64986400	-0.65070784	-0.00084384	-0.02849419
2855500000.000000	-0.64481298	-0.64434921	-0.64481298	-0.00046377	-0.03788435
2856000000.000000	-0.64231890	-0.64530444	-0.64231890	0.00298553	-0.04185727
2856500000.000000	-0.64863878	-0.64864952	-0.64863878	0.00001075	-0.03179008
2857000000.000000	-0.65000827	-0.65028250	-0.65000827	0.00027422	-0.02960856
2857500000.000000	-0.64855964	-0.64821897	-0.64855964	-0.00034066	-0.03191615
2858000000.000000	-0.64738457	-0.64684654	-0.64738457	-0.00053803	-0.03378796
2858500000.000000	-0.64813267	-0.64825089	-0.64813267	0.00011822	-0.03259629
2859000000.000000	-0.65063293	-0.64980830	-0.65063293	-0.00082463	-0.02861351
2859500000.000000	-0.64924194	-0.64813625	-0.64924194	-0.00110569	-0.03082928
2860000000.000000	-0.64639547	-0.64655506	-0.64639547	0.00015958	-0.03536353
2860500000.000000	-0.64664332	-0.64767638	-0.64664332	0.00103307	-0.03496873
2861000000.000000	-0.64166298	-0.64139462	-0.64166298	-0.00026836	-0.04290211
2861500000.000000	-0.63819446	-0.63882368	-0.63819446	0.00062922	-0.04842726
2862000000.000000	-0.63989713	-0.64057585	-0.63989713	0.00067872	-0.04571501
2862500000.000000	-0.63913340	-0.63893864	-0.63913340	-0.00019476	-0.04693158
2863000000.000000	-0.63791502	-0.63706792	-0.63791502	-0.00084710	-0.04887239
2863500000.000000	-0.63548347	-0.63544993	-0.63548347	-0.00003355	-0.05274569
2864000000.000000	-0.63606091	-0.63517212	-0.63606091	-0.00088879	-0.05182587
2864500000.000000	-0.63415860	-0.63443933	-0.63415860	0.00028074	-0.05485615
2865000000.000000	-0.63439602	-0.63460022	-0.63439602	0.00020420	-0.05447794
2865500000.000000	-0.63125025	-0.63178567	-0.63125025	0.00053542	-0.05948897
2866000000.000000	-0.62933686	-0.63002405	-0.62933686	0.00068719	-0.06253688
2866500000.000000	-0.62965538	-0.63117339	-0.62965538	0.00151801	-0.06202950
2867000000.000000	-0.63076596	-0.63047219	-0.63076596	-0.00029377	-0.06026041
2867500000.000000	-0.62991756	-0.62858323	-0.62991756	-0.00133432	-0.06161187
2868000000.000000	-0.63735843	-0.63635272	-0.63735843	-0.00100571	-0.04975900
2868500000.000000	-0.63753202	-0.63785705	-0.63753202	0.00032503	-0.04948249
2869000000.000000	-0.63665723	-0.63743627	-0.63665723	0.00077903	-0.05087596
2869500000.000000	-0.64084095	-0.64098816	-0.64084095	0.00014721	-0.04421155
2870000000.000000	-0.64144835	-0.64060549	-0.64144835	-0.00084287	-0.04324400
2870500000.000000	-0.63143654	-0.63079918	-0.63143654	-0.00063736	-0.05919222
2871000000.000000	-0.62777000	-0.62902030	-0.62777000	0.00125030	-0.06503279
2871500000.000000	-0.62926456	-0.62705350	-0.62926456	-0.00221106	-0.06265205
2872000000.000000	-0.63123397	-0.62990323	-0.63123397	-0.00133074	-0.05951491
2872500000.000000	-0.63150884	-0.63206055	-0.63150884	0.00055171	-0.05907705
2873000000.000000	-0.63352189	-0.63463312	-0.63352189	0.00111123	-0.05587039
2873500000.000000	-0.63445269	-0.63483927	-0.63445269	0.00038659	-0.05438767
2874000000.000000	-0.63496368	-0.63391499	-0.63496368	-0.00104870	-0.05357369
2874500000.000000	-0.63319067	-0.63398566	-0.63319067	0.00079499	-0.05639800
2875000000.000000	-0.63307896	-0.63262561	-0.63307896	-0.00045335	-0.05657594
2875500000.000000	-0.63433023	-0.63492949	-0.63433023	0.00059926	-0.05458274
2876000000.000000	-0.63582088	-0.63585801	-0.63582088	0.00003713	-0.05220823
2876500000.000000	-0.63673410	-0.63682854	-0.63673410	0.00009445	-0.05075353
2877000000.000000	-0.63759520	-0.63788245	-0.63759520	0.00028725	-0.04938184
2877500000.000000	-0.63933402	-0.63968218	-0.63933402	0.00034815	-0.04661200
2878000000.000000	-0.64070710	-0.64088590	-0.64070710	0.00017880	-0.04442477
2878500000.000000	-0.64159686	-0.64256317	-0.64159686	0.00096630	-0.04300743
2879000000.000000	-0.64575160	-0.64622254	-0.64575160	0.00047094	-0.03638919
2879500000.000000	-0.64829648	-0.64847300	-0.64829648	0.00017652	-0.03233534
2880000000.000000	-0.65043036	-0.65049452	-0.65043036	0.00006416	-0.02893620
2880500000.000000	-0.64930903	-0.64970930	-0.64930903	0.00040026	-0.03072241
2881000000.000000	-0.64930350	-0.64913056	-0.64930350	-0.00017294	-0.03073123
2881500000.000000	-0.64748228	-0.64675926	-0.64748228	-0.00072302	-0.03363232
2882000000.000000	-0.65186304	-0.65176566	-0.65186304	-0.00009738	-0.02665403
2882500000.000000	-0.65101821	-0.65101919	-0.65101821	0.00000098	-0.02799978
2883000000.000000	-0.65127616	-0.65119734	-0.65127616	-0.00007882	-0.02758890
2883500000.000000	-0.65168456	-0.65176142	-0.65168456	0.00007686	-0.02693833
2884000000.000000	-0.65149436	-0.65087947	-0.65149436	-0.00061489	-0.02724131
2884500000.000000	-0.65219979	-0.65233723	-0.65219979	0.00013744	-0.02611760
2885000000.000000	-0.65284236	-0.65290034	-0.65284236	0.00005797	-0.02509402
2885500000.000000	-0.65328562	-0.65321071	-0.65328562	-0.00007491	-0.02438794
2886000000.000000	-0.65351132	-0.65359078	-0.65351132	0.00007947	-0.02402842
